Categoria;Cargo;Vantagens;Descontos ;Líquido;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9552;1725;7827;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7716;1324;6391;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;10081;1975;8106;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8848;1636;7212;;
A DISPOSICAO;SERVIDOR PCR DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9995;1847;8148;;
A DISPOSICAO;SERVIDOR PCR DISP.CAMARA;0;0;0;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5024;542;4482;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6635;0;6635;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7959;1391;6567;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4129;350;3779;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6226;879;5347;;
A DISPOSICAO;SERVIDOR EDUC PCR DISP.CAMAR;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;11537;2375;9162;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8144;1442;6702;;
A DISPOSICAO;SERVIDOR PCR DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;2673;106;2566;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7959;1391;6567;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;650;0;650;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;15461;3454;12006;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3313;177;3136;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;11066;1985;9081;;
A DISPOSICAO;SERVIDOR PCR DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3432;188;3244;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3750;238;3512;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;650;0;650;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7294;1209;6086;;
ESTATUTARIOS;ENGENHEIRO OU ARQUITETO;8481;842;7639;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7246;1195;6051;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;18463;4280;14183;;
VEREADORES;VEREADOR;14635;2988;11647;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7513;1269;6245;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;650;0;650;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9455;1698;7757;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;13984;2996;10988;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;10426;2018;8408;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8624;1574;7050;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3362;182;3180;;
VEREADORES;VEREADOR;14635;2832;11803;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8168;1449;6719;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4693;421;4272;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;487;0;487;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5524;607;4917;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6197;785;5412;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
ESTATUTARIOS;LINGUISTA OU FILOLOGO;6080;293;5787;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9136;1715;7421;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;11052;2242;8810;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;12159;2494;9665;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7473;1153;6320;;
A DISPOSICAO;SERVIDOR PCR DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;10669;2137;8532;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4198;334;3865;;
A DISPOSICAO COMISSIONADO;SERVIDOR EMPREL DISP.CAMARA;650;52;598;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3313;177;3136;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4687;460;4227;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5726;724;5002;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;11397;2337;9060;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;19790;4645;15145;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;10279;2324;7954;;
A DISPOSICAO;SERVIDOR OUT PREFEITURAS CMR;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8018;1407;6610;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;1083;22;1062;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3130;161;2969;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;2554;0;2554;;
A DISPOSICAO;SERVIDOR EMLURB DISP.CAMARA;0;0;0;;
A DISPOSICAO COMISSIONADO;SERVIDOR EDUC PCR DISP.CAMAR;650;0;650;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5104;533;4571;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;2673;106;2566;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5871;691;5180;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8654;1582;7071;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;2673;106;2566;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8929;1658;7271;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9110;1708;7402;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7935;1385;6550;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6809;1070;5739;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3432;188;3244;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;650;0;650;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8168;1449;6719;;
